Molecule,Category,Brand,SKU,Value25,Unit25,GrowthValue25,GrowthUnit25
 FEROZSONS,  FAMOTIDINE,   H 2 F              FZS,,"58,537,528","330,081",45.44,48.76
 SAFFRON PHARMA,  FAMOTIDINE,   APSIN              SAF,,"40,706,865","181,607",0.74,-12.74
 BATALA PHARMA,  FAMOTIDINE,   FEMME              BA9,,"30,707,260","1,535,363",8.07,8.07
 AXIS PHARMACEUTICA,  FAMOTIDINE,   FEPTID             AX-,,"23,162,531","173,649",49.80,51.25
 AMSON VACC. PH PVT,  FAMOTIDINE,   FAMOTID            AMV,,"16,906,029","175,114",25.26,-1.65
 ZAFA,  FAMOTIDINE,   FAMTAZA            ZAF,,"10,136,723","75,944",-10.82,-11.35
 WERRICK PHARMA,  FAMOTIDINE,   PEPTIBAN           WRP,,"8,735,612","87,396",151.55,152.01
 DONVALLEY,  FAMOTIDINE,   ULSIN              DOV,,"7,315,440","47,670",15.83,11.37
 SAFE PHARMA,  FAMOTIDINE,   MAFOTAB            S+F,,"4,095,171","17,911",321.36,262.86
 ALLIANCE PHARMA,  FAMOTIDINE,   AFOMIT             AL&,,"3,982,655","62,473",23.65,23.65
 WIMITS PHARMA,  FAMOTIDINE,   FAMITOL            WMT,,"3,756,216","25,397",-5.32,-14.35
 FYNK PHARMA,  FAMOTIDINE,   NO-UL              FYK,,"3,510,039","25,027",51.48,4.24
 GLITZ PHARMA,  FAMOTIDINE,   LITZ               G6Z,,"3,335,129","19,216",-23.49,-30.02
 SUNSHINE PHARMACEU,  FAMOTIDINE,   FAMSURE            SU8,,"3,102,955","310,710",-14.46,-14.54
 CORE HEALTH,  FAMOTIDINE,   FAMDIN             CRH,,"1,575,901","7,416",192.31,192.31
 AKSON PHARMA,  FAMOTIDINE,   GEPEP              AK/,,"1,409,229","12,962",37.29,37.29
 ROTEX PHARMA,  FAMOTIDINE,   VOLVIC             RTX,,"1,200,800","10,492",71.39,75.36
 PHARMIX LAB,  FAMOTIDINE,   ULCOFIN            PIX,,"445,993","3,904",-82.55,-82.55
 OBS AGP PVT LTD,  FAMOTIDINE,   NOCID              OAL,,"123,414,899","482,361",24.96,17.63
 WILSONS,  FAMOTIDINE,   POLYPEP            WIS,,"90,346,897","276,769",63.50,-27.47
 ASPIN PHARMA PVT.,  FAMOTIDINE,   PEPCIDINE          A-V,,"43,550,054","115,603",-6.27,-15.81
 BARRETT HODGSON,  FAMOTIDINE,   ACICON             BGO,,"31,054,575","163,747",5.16,0.55
 SIZA,  FAMOTIDINE,   ULCENIL            SIZ,,"14,895,198","208,136",64.15,64.50
 GLOBAL,  FAMOTIDINE,   FADIPHINE          GLB,,"13,126,951","188,335",-6.48,-6.48
 FOCUS & RULZ PHARM,  FAMOTIDINE,   ULFAM              F&R,,"10,848,615","58,223",98.32,30.70
 CIBEX PHARMA,  FAMOTIDINE,   FAMOBEX            CBX,,"9,044,951","61,496",-0.09,-0.40
 SHROOQ PHARMA,  FAMOTIDINE,   FOMEN              SQP,,"3,791,317","32,483",14.90,14.98
 PLATINUM PHARMA,  FAMOTIDINE,   REDUCID            P/P,,"3,127,347","15,085",45.17,-10.86
 BRYON,  FAMOTIDINE,   NOCER              BY.,,"2,681,387","23,367",11.96,14.91
 DAVIS PHARMA,  FAMOTIDINE,   ULFARID            DVI,,"2,504,575","19,976",-30.11,-34.61
 ISIS PHARMA,  FAMOTIDINE,   FAMGARD            ISS,,"1,327,755","88,517",196.46,196.46
 UNISON,  FAMOTIDINE,   GD-CID             UIO,,"963,288","7,870",38.22,38.22
 UNIVERSAL PHARMA,  FAMOTIDINE,   ZEMOT              U.P,,"415,888","4,448",123.18,123.18
 EPHARM LABS,  FAMOTIDINE,   PHARMOTIDIN        EP5,,"374,655","4,007",45.23,45.23
 RAKAPOSHI,  FAMOTIDINE,   H2-BF              RKP,,"374,469","5,874",999.00,999.00
 XENON PHARMA,  FAMOTIDINE,   FAMOTOP            XPH,,"326,035","3,487",999.00,999.00
 IRZA PHARMA,  FAMOTIDINE,   FAMOSIB            IRZ,,"304,000","15,200",210.01,210.01
 FOZAN PHARMA,  FAMOTIDINE,   H2-FOZ             FZP,,"166,749","2,065",-29.43,-29.43
 TABROS PHARMA,  FAMOTIDINE,   G-MET              T9P,,"132,172,140","1,033,423",22.65,14.81
 SIZA,  FAMOTIDINE,   ULCENIL            SIZ,,"52,877,281","946,013",-1.81,-1.49
 SHAIGAN PHARMA,  FAMOTIDINE,   FAMOT              SHM,,"41,814,588","502,217",78.10,57.91
 PLATINUM PHARMA,  FAMOTIDINE,   REDUCID            P/P,,"35,193,836","468,227",39.50,10.42
 CIBEX PHARMA,  FAMOTIDINE,   FAMOBEX            CBX,,"22,188,333","251,978",-42.23,-42.08
 SCOTMANN PHARMA,  FAMOTIDINE,   FAMOSCOT           SC2,,"11,060,208","167,038",-35.88,-54.11
 SHROOQ PHARMA,  FAMOTIDINE,   FOMEN              SQP,,"6,744,420","41,343",229.38,66.95
 Z-JANS PHARMA,  FAMOTIDINE,   ULCARE             ZJP,,"4,641,843","42,664",173.14,173.14
 WILSONS,  FAMOTIDINE,   POLYPEP            WIS,,"3,223,153","43,073",-70.86,-70.86
 FEDRO,  FAMOTIDINE,   FEDCID             FDR,,"2,268,805","41,251",999.00,999.00
 SAFFRON PHARMA,  FAMOTIDINE,   APSIN              SAF,,"1,896,522","32,910",-18.43,-18.09
 WERRICK PHARMA,  FAMOTIDINE,   PEPTIBAN           WRP,,"1,424,284","29,397",-38.55,-38.55
 FOZAN PHARMA,  FAMOTIDINE,   H2-FOZ             FZP,,"568,956","16,734",999.00,999.00
 BRYON,  FAMOTIDINE,   NOCER              BY.,,"385,355","6,606",-7.50,-12.53
 PEARL PHARMA,  FAMOTIDINE,   FEMAS              PP5,,"286,625","2,625",999.00,999.00
 NEOMEDIX PHARMA,  FAMOTIDINE,   NEOFAM             N8X,,"3,315",78,-80.93,-80.93
 BARRETT HODGSON,  FAMOTIDINE,   ACICON             BGO,,0,0,-100.00,-100.00
 RASCO PHARMA,  FAMOTIDINE,   FAMTAC             RPH,,0,0,-100.00,-100.00
 AKSON PHARMA,  FAMOTIDINE,   GEPEP              AK/,,0,0,0.00,0.00
 NEUTRO PHARMA,  FAMOTIDINE,   NEUTIDINE          N/P,,0,0,-100.00,-100.00
 BARRETT HODGSON,  FAMOTIDINE,   ACICON             BGO,,"82,285,632","987,596",9.80,1.89
 WILSONS,  FAMOTIDINE,   POLYPEP            WIS,,"67,635,850","541,260",147.86,112.17
 SAFFRON PHARMA,  FAMOTIDINE,   APSIN              SAF,,"16,882,880","91,690",4.41,-5.33
 WERRICK PHARMA,  FAMOTIDINE,   PEPTIBAN           WRP,,"11,237,555","108,366",66.39,66.39
 SHAIGAN PHARMA,  FAMOTIDINE,   FAMOT              SHM,,"8,050,381","63,564",-1.71,-5.21
 EVOLUTION PHARMA,  FAMOTIDINE,   FEXIS              EVO,,"4,090,971","27,683",999.00,999.00
 SCOTMANN PHARMA,  FAMOTIDINE,   FAMOSCOT           SC2,,"613,632","6,016",-62.72,-62.72
 ROTEX PHARMA,  FAMOTIDINE,   VOLVIC             RTX,,"151,874","1,021",999.00,999.00
 RORYAN PHARMA,  FAMOTIDINE,   SO-FEM             RYN,,"25,976",382,999.00,999.00
 ASTER LIFE SCIENCE,  FAMOTIDINE, PARENT ORD DRY VIALS,,"15,477,539","193,414",999.00,386.47
 SHAIGAN PHARMA,  FAMOTIDINE,   FAMOT              SHM,,"15,477,539","193,414",999.00,386.47
 RAAZEE THERAPEUTIC,  FAMOTIDINE,   LOACID             RZT,,"12,724,221","75,126",999.00,999.00
 BLOOM PHARMA,  FAMOTIDINE,   KAMCID             BLO,,"416,333","3,707",999.00,999.00
 WIMITS PHARMA,  FAMOTIDINE,   PEPCID             WMT,,"415,718","12,227",-9.09,-9.09
 GLOBAL,  FAMOTIDINE,   FADIPHINE          GLB,,"3,295",76,-43.27,-43.28
 PHARMIX LAB,  FAMOTIDINE,   ULCOFIN            PIX,,0,0,-100.00,-100.00
 WERRICK PHARMA,  FAMOTIDINE,   PEPTIBAN           WRP,,"2,029,766","28,575",-24.80,-27.73
 PAKHEIM INTL PHARM,  FAMOTIDINE,   BAN-ULCER          PKH,,"140,550","9,370",999.00,999.00
 KATRINA PHAR.,  FAMOTIDINE,   ACER-OD            KAT,,0,0,0.00,0.00
 WERRICK PHARMA,  FAMOTIDINE,   PEPTIBAN           WRP,,"12,828",348,-25.64,-25.64
 HIMONT PHARMA,  FAMOTIDINE,   FOMICID            HTP,,0,0,-100.00,-100.00
 BLOOM PHARMA,  FAMOTIDINE,   KAMCID             BLO,,0,0,0.00,0.00
 HOOVER PHARMACEUTI,  FAMOTIDINE,   STOMOREST          HVR,,0,0,0.00,0.00
